"","Site.No","Site.Name","Street.Address","City..State.Zip","County","Enforcement.Action","Enforcement.Action.No","Enforcement.Action.Issued","Case.Closed","Media","Program","Latitude","Longitude"
"628",111958,"Mona, Scott/port Tobacco Marina/dredging","7610 Shirley Boulevard","Port Tobacco,MD,20677","Charles","Settlement Agreement","SAP-13-1814","12/21/2012","08/26/2013","Notice of Intent;Surface Water Discharge Permit;Tidal Wetlands","Industrial Minor",38.4966756594486,-77.027944334777
"629",111958,"Mona, Scott/port Tobacco Marina/dredging","7610 Shirley Boulevard","Port Tobacco,MD,20677","Charles","Settlement Agreement","SAP-13-1814","12/21/2012","08/26/2013","Notice of Intent;Surface Water Discharge Permit;Tidal Wetlands","Notice of Intent (Construction)",38.4966756594486,-77.027944334777
"630",112589,"MD & VA Milk Producers Coop","8321 Leishear Road","Laurel,MD,20723","Howard","Penalty Settlement","PS-13-1874","03/26/2013","08/14/2013","Surface Water Discharge Unauthorized","Industrial Major",39.1420769875116,-76.869856005639
"631",113147,"Eddins, Arlie/boathouse And Pilings","11815 Hilltop Rd","Lusby,MD,20657","Calvert","Penalty Settlement",NA,"07/12/2012","07/12/2012","Tidal Wetlands",NA,38.370746009888,-76.4706110379942
"632",113413,"Runway 15R-33L, RSA, Pavement Rehab & Standards Compliance","39.1779633 -76.6750929","BWI Airport,MD,21240","Anne Arundel","Penalty Settlement",NA,"02/26/2015","03/26/2015","Sediment",NA,39.1896283997643,-76.6711585004458
"633",113856,"White Hall Yacht Yard/boat Ramp","WHITE HALL YACHT YARD INC","Annapolis,MD","Anne Arundel","Settlement Agreement","SA-14-2046","01/27/2014","01/27/2014","Tidal Wetlands",NA,39.0075981854682,-76.4386018608536
"634",114216,"Gatewater Landing Property Owners","GATEWATER CT","Glen Burnie,MD,21060","Anne Arundel","Penalty Settlement","PS-17-2465","05/09/2017","05/26/2017","Surface Water Discharge Unauthorized","Collection System (SSO)",39.1674245989777,-76.5887648743644
"635",116515,"Winchester Homes - Poplar Run","13501 LAYHILL RD","Silver Spring,MD","Montgomery","Penalty Settlement","C-16-2350","12/14/2015","12/23/2015","Sediment;Waterway Construction","Notice of Intent (Construction)",39.0736400049553,-77.0339070336294
"636",116973,"Towne Place Suites Marriotts @ Arundel Mills","7021 Arundel Mills Circle","Hanover,MD,21076","Anne Arundel","Penalty Settlement","PS-16-2312","09/17/2015","10/07/2015","Surface Water Discharge Unauthorized",NA,39.1599829955325,-76.7211260071274
"637",118803,"Lavato, Domenic/revetment","6221 Ray Norwood Rd","Prince Frederick,MD,20678","Calvert","Settlement Agreement","CO-18-2499","11/27/2017","03/08/2018","Tidal Wetlands",NA,38.4953904026881,-76.6483833172148
"638",121360,"Anne Arundel Hall Replacement & Mill Field Parking Lot","St. Mary's College of MD, 38.187015, -76.432583","Saint Marys City,MD,20686","St. Mary's","Penalty Settlement","PS-17-2439","02/17/2017","03/31/2017","Surface Water Discharge Unauthorized","Industrial Minor",38.186399899763,-76.4320271002723
"639",122010,"Mapes Road Installation of 20""Waterline","39.103968, -76.737524","Fort George G. Meade,MD,20755","Anne Arundel","Penalty Settlement","PS-15-2279","06/30/2015","07/22/2015","Notice of Intent","Notice of Intent (Construction)",39.1152862998556,-76.7417253997734
"640",123524,"Greenland Beach Yacht Basin","430 Greenland Beach Rd","Baltimore,MD,21226","Anne Arundel","Settlement Agreement","SAP-14-2063","03/06/2014","02/05/2015","Surface Water Discharge Unauthorized",NA,39.1630340081508,-76.5269909877701
"641",124515,"Herrington Partnership","7149 Lake Shore Dr","North Beach,MD,20714","Calvert","Penalty Settlement","PS-15-2235","03/20/2015","05/06/2015","Tidal Wetlands",NA,38.7261959951607,-76.5411289953084
"642",125437,"Grayson Wilbur","2375 Cape Leonard Drive","Saint Leonard,MD,20685","Calvert","Penalty Settlement",NA,"04/26/2013","05/28/2013","Tidal Wetlands",NA,38.4051649961087,-76.4934659736561
"643",125561,"Rock Creek Management Co-Fairview Marina","1575 Fairview Beach Blvd","Pasadena,MD,21122","Anne Arundel","Penalty Settlement","PS-13-1806","11/13/2012","12/10/2013","Tidal Wetlands",NA,39.1518059882571,-76.4955480376177
"644",125561,"Rock Creek Management Co-Fairview Marina","1575 Fairview Beach Blvd","Pasadena,MD,21122","Anne Arundel","Penalty Settlement","PS-13-1764","09/05/2012","09/19/2012","Tidal Wetlands",NA,39.1518059882571,-76.4955480376177
"645",125720,"James Potter","7668 Water Oak Point Road","Pasadena,MD,21122","Anne Arundel","Penalty Settlement","PS-13-1764","12/20/2012","04/24/2013","Tidal Wetlands",NA,39.1488600007719,-76.5120240094977
"646",126347,"UMBC Community Center","39.258443,-76.712637","Catonsville,MD,21228","Baltimore","Penalty Settlement","PS-13-1824","12/17/2012","01/11/2013","Sediment",NA,39.2757950001756,-76.7332399998378
"647",126391,"DD Land Holding LLC-Windsor Manor","Creedon Road","Bryans Road,MD,20616","Charles","Penalty Settlement","PS-16-2326","10/14/2015","11/02/2015","Notice of Intent","Notice of Intent (Construction)",38.6277325473843,-77.0906698480743
"648",126393,"Bc Rec And Parks/jones Falls Trail:clipper","CLIPPER RD TO CYLBURN ARBORETUM","Baltimore City,MD","Baltimore City","Penalty Settlement","PS-13-1819","12/26/2012","01/08/2013","Notice of Intent","Notice of Intent (Construction)",39.3556299997458,-76.6550499997042
"649",126430,"Darryl Ritter","23209 Gilpin Point Rd","Preston,MD,21655","Caroline",NA,NA,"11/07/2019","11/17/2020","Tidal Wetlands",NA,38.8053310098389,-75.9005139656149
"650",126488,"Liberty Yacht Club Inc","64 Old South River Rd","Edgewater,MD,21037","Anne Arundel","Settlement Agreement","SAP-12-1472","06/02/2014","01/03/2018","Tidal Wetlands",NA,38.9532630095901,-76.5526800120337
"651",126488,"Liberty Yacht Club Inc","64 Old South River Rd","Edgewater,MD,21037","Anne Arundel","Consent Decree","CJ-18-2506","01/03/2018","07/16/2018","Tidal Wetlands",NA,38.9532630095901,-76.5526800120337
"652",127313,"Fort Meade Shopping Center","2790 MacArthur Rd, 39.109409 -76.757770","Fort George G. Meade,MD,20755","Anne Arundel","Penalty Settlement","C-15-2170","11/03/2014","11/24/2014","Notice of Intent;Sediment","Notice of Intent (Construction)",39.1081078843918,-76.7391363248688
"653",127374,"Level 3 Communications Llc/i-95 Express","I-895 & I-95","Baltimore County,MD","Baltimore","Settlement Agreement","SAP-13-1805","11/30/2012","09/14/2014","Sediment",NA,39.323630057641,-76.5283899269755
"654",127405,"Dreamcraft Homes-52-56 Johnson Road","52-56 Johnson Road","Pasadena,MD,21122","Anne Arundel","Consent Order","COP-18-2487","09/25/2017",NA,"Tidal Wetlands",NA,39.1531879964091,-76.5127450207009
"655",127463,"K and P Builders-Kingsview Subdivision, Sec 6B","Tottenham Drive","White Plains,MD,20695","Charles","Penalty Settlement","C-17-2448","03/24/2017","04/26/2017","Sediment",NA,38.6188329441233,-77.0249529466775
"656",127505,"Triumph Industrial Park","505 Blue Ball Road","Elkton,MD,21921","Cecil","Penalty Settlement","C-15-2211","01/22/2015","02/11/2015","Notice of Intent;Sediment","Notice of Intent (Construction)",39.6205399927476,-75.8521499651902
"657",127843,"Taylor Jr, John/bulkhead, Revetment And","954 & 950 Sevarden Lane","Crownsville,MD,21032","Anne Arundel",NA,NA,NA,NA,"Not Assigned",NA,39.0644179837083,-76.5740029868612
"658",128251,"Randall Williams","508 Ashberry Lane","Severna Park,MD","Anne Arundel","Settlement Agreement",NA,"07/13/2012","07/13/2012","Tidal Wetlands",NA,39.0690789923993,-76.5626750128379
"659",128427,"Gary Salisbury and Elizabeth Hight","2021 Indian Circle","Saint Leonard,MD,20685","Calvert","Penalty Settlement",NA,"01/29/2014","02/05/2014","Tidal Wetlands",NA,38.401571003763,-76.4882479871575
"660",128427,"Gary Salisbury and Elizabeth Hight","2021 Indian Circle","Saint Leonard,MD,20685","Calvert","Penalty Settlement",NA,"01/29/2014","04/25/2014","Tidal Wetlands",NA,38.401571003763,-76.4882479871575
"661",128507,"Fort Meade Apartments & Neighborhhod Center","39.105763 -76.742220","Fort George G. Meade,MD,20755","Anne Arundel","Penalty Settlement","PS-13-1807","10/22/2013","11/15/2013","Notice of Intent;Sediment","Notice of Intent (Construction)",39.1152862998556,-76.7417253997734
"662",128660,"AAFB Ambulatory Care Center","38.807103 -76.897326","Andrews Air Force Base,MD,20762","Prince George's","Penalty Settlement","C-15-2152","09/30/2014","10/16/2014","Notice of Intent;Sediment","Notice of Intent (Construction)",38.8007150002906,-76.8924799997128
"663",128846,"Birdlawn Llc/rd Xings, Swm Pond And","TUCKER RD","Oxon Hill,MD,20745","Prince George's",NA,NA,NA,NA,"Not Assigned",NA,38.7749181304428,-76.9589573258959
"664",128846,"Birdlawn Llc/rd Xings, Swm Pond And","TUCKER RD","Oxon Hill,MD,20745","Prince George's","Complaint & Penalty","SAP-14-2042","07/22/2013","01/27/2014","Notice of Intent;Sediment","Notice of Intent (Construction)",38.7749181304428,-76.9589573258959
"665",128846,"Birdlawn Llc/rd Xings, Swm Pond And","TUCKER RD","Oxon Hill,MD,20745","Prince George's","Settlement Agreement","SAP-14-2042","01/27/2014","01/15/2015","Notice of Intent;Sediment","Notice of Intent (Construction)",38.7749181304428,-76.9589573258959
"666",129153,"Donkat Properties, LLC","Marion Quimby Drive","Stevensville,MD,21666","Queen Anne's","Settlement Agreement","SA-13-1855","02/25/2013","01/28/2014","Notice of Intent;Sediment","Notice of Intent (Construction)",38.9750862395511,-76.3133509941758
"667",129153,"Donkat Properties, LLC","Marion Quimby Drive","Stevensville,MD,21666","Queen Anne's","Complaint & Penalty","SA-13-1855","11/20/2012","01/28/2014","Sediment",NA,38.9750862395511,-76.3133509941758
"668",129215,"Fowler Land Development","Lots 4R and 5R","Solomons,MD,20688","Calvert","Settlement Agreement","SA-13-1788","10/31/2012","09/14/2014","Tidal Wetlands",NA,38.344335000039,-76.4638950002665
"669",129215,"Fowler Land Development","Lots 4R and 5R","Solomons,MD,20688","Calvert","Settlement Agreement","SA-13-1788","11/13/2012","04/21/2014","Tidal Wetlands",NA,38.344335000039,-76.4638950002665
"670",129269,"Ellis Shortt","21955 Newtown Rd","Leonardtown,MD,20650","St. Mary's",NA,NA,NA,NA,"Not Assigned",NA,38.2711630070895,-76.6965970384756
"671",129596,"Chaplin's Cove","Connelly Mill Road west of Chadow Lane","Delmar,MD,21875","Wicomico",NA,NA,NA,NA,"Not Assigned",NA,38.4513900000545,-75.5754250001326
"672",129643,"MTA/Dunkirk Park & Ride Facility","Near Town Center Blvd","Dunkirk,MD,20754","Calvert","Penalty Settlement","C-15-2174","11/17/2014","01/14/2015","Sediment",NA,38.7233037718795,-76.6559894973542
"673",129786,"Brock Parker Property- Lots 1 & 2 Rockawalkin Rd.","Rockawalkin Rd","Salisbury,MD,21801","Wicomico",NA,NA,NA,NA,"Not Assigned",NA,38.3674246233615,-75.677391423255
"674",129835,"Boyersmith, James & Albright, Carrie","2960 J St","Chesapeake Beach,MD,20732","Calvert","Penalty Settlement",NA,"05/15/2013","06/03/2013","Tidal Wetlands",NA,38.6798819985482,-76.5541950414216
"675",129875,"160 Bamboushay Lane Louis Stone III","160 Bamboushay Lane","Dowell,MD,20629","Calvert","Consent Order",NA,"12/12/2012","09/14/2014","Tidal Wetlands",NA,38.3426989886738,-76.4603940006012
"676",129893,"PG DPW&T/Anacostia River Levee","Several locations","Bladensburg,MD","Prince George's","Penalty Settlement","C-15-2181","12/03/2014","02/03/2015","Sediment;Waterway Construction",NA,38.9426899999371,-76.932949999781
"677",130196,"Walgreens Drug Store @ Kent Island","MD Rte 18 and Dominion Rd","Chester,MD,21619","Queen Anne's","Penalty Settlement","PS-11-1374","06/08/2011","07/01/2011","Sediment",NA,38.9740600615726,-76.2804399039983
"678",130284,"American Tower Corp/Bivalve Site","22260 Capitola Rd","Tyaskin,MD,21865","Wicomico","Penalty Settlement","SA-13-1815","12/11/2012","03/26/2013","Non-Tidal Wetlands;Sediment",NA,38.3032589909055,-75.8440849821976
"679",130300,"Family Dollar #7986","20 Poplar Lane","Indian Head,MD,20640","Charles","Complaint & Penalty","AP-14-1963","07/22/2013","05/19/2016","Notice of Intent;Sediment","Notice of Intent (Construction)",38.6018569994168,-77.147098014923
"680",130511,"Kinnamon Meadows","Cedar Street","Greensboro,MD,21639","Caroline","Penalty Settlement","SAP-12-1655","05/04/2012","04/23/2012","Sediment;Surface Water Discharge Unauthorized","Notice of Intent (Construction)",38.994085805735,-75.817533537532
"681",130511,"Kinnamon Meadows","Cedar Street","Greensboro,MD,21639","Caroline","Penalty Settlement","SAP-12-1656","05/04/2012","04/27/2012","Sediment;Surface Water Discharge Unauthorized","Notice of Intent (Construction)",38.994085805735,-75.817533537532
"682",130511,"Kinnamon Meadows","Cedar Street","Greensboro,MD,21639","Caroline","Penalty Settlement","SAP-12-1646","05/04/2012","04/17/2012","Sediment;Surface Water Discharge Unauthorized","Notice of Intent (Construction)",38.994085805735,-75.817533537532
"683",130511,"Kinnamon Meadows","Cedar Street","Greensboro,MD,21639","Caroline","Penalty Settlement","SAP-12-1642","05/04/2012","04/25/2012","Sediment",NA,38.994085805735,-75.817533537532
"684",130570,"Axtell 1925 Chimney Lane","1925 Chimney Lane","Saint Leonard,MD,20685","Calvert",NA,NA,NA,"03/24/2011","Not Applicable",NA,38.4414259895751,-76.5369900112301
"685",130779,"MD DNR-Bishopville Dam Removal & Stream Corridor Enhancement Project","MD 367 at Bishopville Pond","Bishopville,MD,21813","Worcester","Penalty Settlement","PS-15-2215","02/03/2015","02/24/2015","Non-Tidal Wetlands;Sediment",NA,38.4278000327549,-75.2214198818988
"686",130874,"638 Rocky Hill Road, Tom & Melissa Mignini","638 Rocky Hill Rd, ADC Map 12 F-11","Sparks,MD,21152","Baltimore","Administrative Order","SAP-14-2080","04/15/2014","04/22/2014","Non-Tidal Wetlands;Waterway Construction",NA,39.5208779905643,-76.6580179875889
"687",130987,"Turnbury Run","1728 Disney Rd","Severn,MD,21144","Anne Arundel","Penalty Settlement","PS-16-2299","08/06/2015","09/16/2015","Notice of Intent","Notice of Intent (Construction)",39.1276161168324,-76.7258404277222
"688",131006,"Tri-County Council for Lower Eastern Shore/Multi-Purpose Center","31901 Comtek Lane","Salisbury,MD,21801","Wicomico","Penalty Settlement","PS-13-1711","10/17/2012","10/17/2012","Sediment",NA,38.355674999972,-75.6059050003179
"689",131031,"4764 Williams Wharf Rd","4764 Williams Wharf Road","Saint Leonard,MD,20685","Calvert","Penalty Settlement","PS-15-2125","08/04/2014","09/18/2014","Tidal Wetlands",NA,38.4355739961303,-76.5917850274176
"690",131102,"HA DPW/Bridge No 63/Watervale Rd","Watervale Rd over Winters Run","Fallston,MD,21047","Harford","Penalty Settlement","C-16-2380","03/15/2016","04/20/2016","Sediment",NA,39.522944841027,-76.3984913467992
"691",131141,"City of Baltimore DPW-Environmental Services Division","Perry Hall Blvd, near Shanti Lane","Fullerton,MD,21237","Baltimore","Settlement Agreement","SAP-14-2079","04/09/2014","05/09/2014","Surface Water Discharge Unauthorized",NA,39.3625195481959,-76.4974853695123
"692",131195,"Crest Pointe Apts","6 Brubar Court","Gwynn Oak,MD,21207","Baltimore","Site Complaint",NA,NA,"07/01/2010","Not Applicable",NA,39.3445670044482,-76.7301300152562
"693",131247,"Stoney's Banquet Facility","3946 Oyster House Road","Prince Frederick,MD,20678","Calvert","Penalty Settlement","SA-13-1852","02/13/2013","01/28/2013","Sediment",NA,38.5362149997375,-76.5851449997393
"694",131371,"Stream Filling Collington trib","4707 Church Road","Bowie,MD,20720","Prince George's",NA,NA,NA,NA,"Not Assigned",NA,38.9545674427768,-76.7689570020597
"695",131388,"Jims Air Compressor Inc","5815 Arbor Street","Tuxedo,MD,20781","Prince George's",NA,NA,NA,NA,"Not Assigned",NA,38.9175308306189,-76.9190018700426
"696",131482,"David Smith","1064 Bell Ave","Glen Burnie,MD,21060","Anne Arundel","Penalty Settlement","PS-16-2351","12/30/2015","02/24/2016","Tidal Wetlands",NA,39.1755509979524,-76.585340014106
"697",131491,"WI Bd of Ed/Bennett MS","532 S Division St","Fruitland,MD,21826","Wicomico","Penalty Settlement","PS-14-1966","08/08/2013","09/18/2013","Sediment",NA,38.3157709930572,-75.6295810150141
"698",131570,"Architect of the Capitol/Andrews Federal Campus","4317 Forestville Rd","District Heights,MD,20747","Prince George's","Penalty Settlement","C-16-2338","11/17/2015","01/14/2016","Notice of Intent;Sediment","Notice of Intent (Construction)",38.8297194868055,-76.8774648924024
"699",131591,"Mark and Heather Mudd","10720 Mount Victoria Rd","Newburg,MD,20664","Charles","Consent Order","COP-13-1917","04/23/2013","06/05/2013","Tidal Wetlands",NA,38.3833619897466,-76.9396259618673
"700",131715,"Deal Island & Ford Rd.- Roy Ford Prop.","Deal Island Rd, At Ford Rd","Deal Island,MD,21821","Somerset",NA,NA,NA,"07/02/2015","Not Assigned",NA,38.1532800468595,-75.9484699350679
"701",131737,"BGE POLE 1333242","Falls Rd & Joppa Rd","Timonium,MD,21209","Baltimore","Settlement Agreement","SAP-14-2079","04/09/2014","05/10/2014","Sediment",NA,39.4187000343295,-76.6693399276285
"702",131793,"Franklin Square Professional Center","5233 King Avenue","Rosedale,MD,21237","Baltimore","Penalty Settlement","PS-13-1873","03/06/2013","04/22/2013","Notice of Intent","Notice of Intent (Construction)",39.3567620026709,-76.4718689938023
"703",131836,"APG Non-Medical Chemical Defense Facility JPEO","Scully Rd & Bush River Rd","Aberdeen Proving Ground,MD,21005","Harford",NA,NA,"06/21/2013","06/22/2013","Not Assigned",NA,39.3973177466488,-76.2745920790096
"704",131880,"Wal-mart Real Estate Business Trust South of Legion Road East of its intersection Rt 404/313 Denton","South of Legion Rd, East , of its intersection Rte 404/313","Denton,MD,21629","Caroline","Penalty Settlement","PS-13-1736","01/28/2013","12/27/2012","Notice of Intent;Sediment",NA,38.882455000349,-75.8283850002129
"705",131958,"CH DPW - Pinefield Subdivision","Temi Drive","Waldorf,MD,20601","Charles","Settlement Agreement","C-17-2438","02/13/2017","03/28/2017","Sediment",NA,38.6565548639161,-76.8615634075197
"706",131963,"John Ernst","2531 Beckleysville Rd","Freeland,MD,21053","Baltimore","Penalty Settlement","PS-13-1710","11/07/2012","11/07/2012","Sediment",NA,39.6712370124228,-76.7285819620018
"707",131977,"Murphy's Run Phase I","Liberty Grove Rd.","Colora,MD,21917","Cecil",NA,NA,NA,"08/27/2012","Not Applicable",NA,39.6727116397725,-76.0939177266866
"708",131977,"Murphy's Run Phase I","Liberty Grove Rd.","Colora,MD,21917","Cecil","Penalty Settlement",NA,"05/29/2012","08/27/2012","Sediment;Surface Water Discharge Unauthorized","Notice of Intent (Construction)",39.6727116397725,-76.0939177266866
"709",131995,"Craig Willis","Teats Branch Rd","Sudlersville,MD,21668","Queen Anne's","Penalty Settlement","PS-14-2035","12/06/2013","12/18/2013","Non-Tidal Wetlands;Sediment",NA,39.1574741611129,-75.8221213657403
